127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/bootstrap-4.1/bootstrap.min.js, HTTP/1.1, 200, 0.002502
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/slick/slick.min.js, HTTP/1.1, 200, 0.001502
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/wow/wow.min.js, HTTP/1.1, 200, 0.001502
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js, HTTP/1.1, 200, 0.001502
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/counter-up/jquery.waypoints.min.js, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/counter-up/jquery.counterup.min.js, HTTP/1.1, 200, 0.002900
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/perfect-scrollbar/perfect-scrollbar.js, HTTP/1.1, 200, 0.002309
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/circle-progress/circle-progress.min.js, HTTP/1.1, 200, 0.002916
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/chartjs/Chart.bundle.min.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/js/main.js, HTTP/1.1, 200, 0.001030
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/select2/select2.min.js, HTTP/1.1, 200, 0.002030
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/images/icon/logop2.png, HTTP/1.1, 200, 0.005626
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/images/portada2.jpg, HTTP/1.1, 200, 0.017224
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-700.woff2, HTTP/1.1, 200, 0.001873
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/mdi-font/fonts/Material-Design-Iconic-Font.woff2, HTTP/1.1, 200, 0.002114
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/vendor/font-awesome-5/webfonts/fa-solid-900.woff2, HTTP/1.1, 200, 0.009420
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-regular.woff2, HTTP/1.1, 200, 0.002319
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-600.woff2, HTTP/1.1, 200, 0.001873
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/default/images/bg-title-01.jpg, HTTP/1.1, 404, 0.060084
127.0.0.1, 2022-02-16 08:57:07, GET, /TuNota/static/images/favicon3.png, HTTP/1.1, 200, 0.008575
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/usuario/login, HTTP/1.1, 200, 0.048138
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/login/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/login/css/bootstrap.min.css, HTTP/1.1, 200, 0.002154
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/layout_ela/css/style.css, HTTP/1.1, 200, 0.002010
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/layout_ela/css/helper.css, HTTP/1.1, 200, 0.002670
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/layout_ela/mi_estilo.css, HTTP/1.1, 200, 0.002014
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/notas/css/buttons.css, HTTP/1.1, 404, 0.001160
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001559
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/login/js/jquery.min.js, HTTP/1.1, 200, 0.007078
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/login/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/login/js/jquery.easing.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/vendor/login/js/jquery.backstretch.min.js, HTTP/1.1, 200, 0.002641
127.0.0.1, 2022-02-16 08:57:27, GET, /TuNota/static/images/portada1.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 08:57:41, POST, /TuNota/usuario/login, HTTP/1.1, 303, 0.041862
127.0.0.1, 2022-02-16 08:57:42, GET, /TuNota/usuario/login, HTTP/1.1, 200, 0.074803
127.0.0.1, 2022-02-16 08:57:42, GET, /TuNota/static/notas/css/buttons.css, HTTP/1.1, 404, 0.000502
127.0.0.1, 2022-02-16 08:57:48, POST, /TuNota/usuario/login, HTTP/1.1, 303, 0.078301
127.0.0.1, 2022-02-16 08:57:48, GET, /TuNota/default/index, HTTP/1.1, 200, 0.100855
127.0.0.1, 2022-02-16 08:57:48, GET, /TuNota/static/notas1/fonts/poppins/poppins-v5-latin-500.woff2, HTTP/1.1, 200, 0.002622
127.0.0.1, 2022-02-16 08:57:48, GET, /TuNota/static/notas1/vendor/font-awesome-5/webfonts/fa-regular-400.woff2, HTTP/1.1, 200, 0.001029
127.0.0.1, 2022-02-16 08:57:48, GET, /TuNota/default/images/bg-title-01.jpg, HTTP/1.1, 404, 0.034969
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/reclamacion/ver, HTTP/1.1, 200, 0.122847
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/jquery_datatable/jquery.dataTables.min.css, HTTP/1.1, 200, 0.002132
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/autofill_datatable/autoFill.bootstrap4.min.css, HTTP/1.1, 200, 0.002447
